method,seed,variant,evaluation,n,tflite_bytes,conversion_seconds,evaluation_seconds,accuracy,macro_f1,multiclass_gmean,balanced_accuracy,original_macro_f1,delta_macro_f1_vs_original,agreement_with_original,agreement_with_fp32,max_raw_row_sum_error,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty
yolo11n_random,42,fp16_weights,test_blur,500,3226800,0.0500305710593238,0.300520156044513,0.846,0.852014565610002,0.84472326067429,0.8514420424505307,0.852014565610002,0.0,1.0,1.0,2.384185791015625e-07,0.8507462686567164,0.7931034482758621,0.75,0.8253968253968254,0.6764705882352942,0.9666666666666668,1.0,0.9491525423728814
yolo11n_random,42,int8_dynamic,test_blur,500,1734464,0.0483057670062407,0.3319625440053642,0.848,0.8538889983186704,0.8469971647201788,0.8532802777446484,0.852014565610002,0.0018744327086683,0.998,0.998,1.788139343261719e-07,0.8507462686567164,0.7931034482758621,0.75,0.8253968253968254,0.6911764705882353,0.9666666666666668,1.0,0.9491525423728814
yolo11n_random,42,int8_static,test_blur,500,1805136,4.166464940994047,0.1638782910304144,0.844,0.8498699828976549,0.8421000768188811,0.8504906538217696,0.852014565610002,-0.002144582712347,0.986,0.986,0.0078125,0.835820895522388,0.8275862068965517,0.75,0.8253968253968254,0.6323529411764706,0.9666666666666668,1.0,0.9661016949152542
yolo11n_random,42,fp32,test_noise,500,6266700,9.893014439963736,0.3118237979942933,0.854,0.8589705162049452,0.8501167384113018,0.8567019870324732,0.8589705162049452,0.0,1.0,1.0,1.788139343261719e-07,0.8955223880597015,0.6896551724137931,0.8235294117647058,0.8412698412698413,0.7205882352941176,0.9,1.0,0.9830508474576272
yolo11n_random,42,fp16_weights,test_noise,500,3226800,0.0500305710593238,0.2923094349680468,0.854,0.8589705162049452,0.8501167384113018,0.8567019870324732,0.8589705162049452,0.0,1.0,1.0,1.788139343261719e-07,0.8955223880597015,0.6896551724137931,0.8235294117647058,0.8412698412698413,0.7205882352941176,0.9,1.0,0.9830508474576272
yolo11n_random,42,int8_dynamic,test_noise,500,1734464,0.0483057670062407,0.31401867500972,0.854,0.8589705162049452,0.8501167384113018,0.8567019870324732,0.8589705162049452,0.0,1.0,1.0,1.788139343261719e-07,0.8955223880597015,0.6896551724137931,0.8235294117647058,0.8412698412698413,0.7205882352941176,0.9,1.0,0.9830508474576272
yolo11n_random,42,int8_static,test_noise,500,1805136,4.166464940994047,0.1697226969990879,0.854,0.8594328316813773,0.8510867094352674,0.8571899695818148,0.8589705162049452,0.000462315476432,0.99,0.99,0.0078125,0.8955223880597015,0.7241379310344828,0.8235294117647058,0.8253968253968254,0.7058823529411765,0.9,1.0,0.9830508474576272
yolo11n_random,42,fp32,test_brightness,500,6266700,9.893014439963736,0.2972289120079949,0.818,0.8242800261675721,0.8113142656696429,0.8219923098493309,0.8242800261675721,0.0,1.0,1.0,2.384185791015625e-07,0.8805970149253731,0.6551724137931034,0.6470588235294118,0.7301587301587301,0.7647058823529411,0.9333333333333332,0.9649122807017544,1.0
yolo11n_random,42,fp16_weights,test_brightness,500,3226800,0.0500305710593238,0.3093973209615797,0.818,0.8242800261675721,0.8113142656696429,0.8219923098493309,0.8242800261675721,0.0,1.0,1.0,1.788139343261719e-07,0.8805970149253731,0.6551724137931034,0.6470588235294118,0.7301587301587301,0.7647058823529411,0.9333333333333332,0.9649122807017544,1.0
yolo11n_random,42,int8_dynamic,test_brightness,500,1734464,0.0483057670062407,0.318978528957814,0.82,0.8262477986851668,0.8139528323143667,0.8241474822631241,0.8242800261675721,0.0019677725175947,0.998,0.998,2.384185791015625e-07,0.8805970149253731,0.6724137931034483,0.6470588235294118,0.7301587301587301,0.7647058823529411,0.9333333333333332,0.9649122807017544,1.0
yolo11n_random,42,int8_static,test_brightness,500,1805136,4.166464940994047,0.1680248139891773,0.808,0.8143082265022411,0.8017445802345247,0.8129106236358254,0.8242800261675721,-0.009971799665331,0.964,0.964,0.0078125,0.8805970149253731,0.7413793103448276,0.6323529411764706,0.6349206349206349,0.75,0.9166666666666666,0.9473684210526316,1.0
yolo11n_random,42,fp32,test_color,500,6266700,9.893014439963736,0.2850527929840609,0.578,0.5195653794973575,0.0,0.562925042636715,0.5195653794973575,0.0,1.0,1.0,2.384185791015625e-07,0.835820895522388,0.5862068965517241,0.7352941176470589,0.6666666666666666,0.7794117647058824,0.9,0.0,0.0
yolo11n_random,42,fp16_weights,test_color,500,3226800,0.0500305710593238,0.2937899969983846,0.578,0.5195653794973575,0.0,0.562925042636715,0.5195653794973575,0.0,1.0,1.0,1.788139343261719e-07,0.835820895522388,0.5862068965517241,0.7352941176470589,0.6666666666666666,0.7794117647058824,0.9,0.0,0.0
yolo11n_random,42,int8_dynamic,test_color,500,1734464,0.0483057670062407,0.3114778910530731,0.578,0.5195653794973575,0.0,0.562925042636715,0.5195653794973575,0.0,0.996,0.996,1.788139343261719e-07,0.835820895522388,0.5862068965517241,0.7352941176470589,0.6666666666666666,0.7794117647058824,0.9,0.0,0.0
yolo11n_random,42,int8_static,test_color,500,1805136,4.166464940994047,0.1679427510825917,0.562,0.5049073013306574,0.0,0.5481066787668919,0.5195653794973575,-0.0146580781667,0.952,0.952,0.0078125,0.8805970149253731,0.6206896551724138,0.7205882352941176,0.6031746031746031,0.6764705882352942,0.8833333333333333,0.0,0.0
yolo11n_random,42,fp32,test_jpeg,500,6266700,9.893014439963736,0.2947235699975863,0.818,0.8212257937784668,0.8082936386520778,0.8212294901866466,0.8212257937784668,0.0,1.0,1.0,1.788139343261719e-07,0.9402985074626866,0.6551724137931034,0.7352941176470589,0.6190476190476191,0.7205882352941176,0.9333333333333332,1.0,0.9661016949152542
yolo11n_random,42,fp16_weights,test_jpeg,500,3226800,0.0500305710593238,0.3106370359892025,0.818,0.8212257937784668,0.8082936386520778,0.8212294901866466,0.8212257937784668,0.0,1.0,1.0,2.384185791015625e-07,0.9402985074626866,0.6551724137931034,0.7352941176470589,0.6190476190476191,0.7205882352941176,0.9333333333333332,1.0,0.9661016949152542
yolo11n_random,42,int8_dynamic,test_jpeg,500,1734464,0.0483057670062407,0.2992700999602675,0.818,0.8212614755610235,0.8082936386520779,0.8212294901866467,0.8212257937784668,3.568178255664023e-05,0.99,0.99,2.384185791015625e-07,0.9402985074626866,0.6551724137931034,0.7205882352941176,0.6190476190476191,0.7352941176470589,0.9333333333333332,1.0,0.9661016949152542
yolo11n_random,42,int8_static,test_jpeg,500,1805136,4.166464940994047,0.1694746189750731,0.808,0.8109501378192745,0.797228951686872,0.8119153622366161,0.8212257937784668,-0.0102756559591923,0.972,0.972,0.0078125,0.9402985074626866,0.7068965517241379,0.7352941176470589,0.5555555555555556,0.6911764705882353,0.9,1.0,0.9661016949152542
yolo11n_random,42,fp32,test_resolution,500,6266700,9.893014439963736,0.3038502730196342,0.838,0.8430886027635203,0.8358681920982951,0.8431922886117847,0.8430886027635203,0.0,1.0,1.0,1.788139343261719e-07,0.8656716417910447,0.8275862068965517,0.75,0.6825396825396826,0.7205882352941176,0.95,1.0,0.9491525423728814
