run,method,scenario,seed,status,error,path,stage,seconds,cpu_seconds,samples,cpu_core_percent_mean,cpu_core_percent_peak,rss_mb_mean,rss_mb_peak,gpu_global_percent_mean,gpu_global_percent_peak,gpu_process_mb_mean,gpu_process_mb_peak
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,save_model,0.017596702091395855,0.06999999999999873,0,,,,,,,,
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,warmup,0.11167678504716605,0.44999999999999774,1,400.9,400.9,466.907136,466.907136,35.0,35.0,0.0,0.0
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,evaluate_train,25.33288530400023,101.39,124,400.2572580645161,412.0,466.9709873548387,466.972672,34.556451612903224,64.0,0.0,0.0
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,prepare_val_clean,0.0047138630179688334,0.009999999999994347,0,,,,,,,,
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,evaluate_val_clean,15.51741614495404,62.06000000000002,76,396.146052631579,407.5,513.0670618947369,530.300928,24.42105263157895,51.0,0.0,0.0
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,prepare_test_clean,0.004739500000141561,-3.4416913763379853e-15,0,,,,,,,,
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,evaluate_test_clean,15.51289471599739,62.03,76,399.25,408.2,549.2769414736842,565.94432,33.23684210526316,40.0,0.0,0.0
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,inference_batch1,1.5266638780012727,6.070000000000039,8,376.625,402.3,565.972992,565.972992,33.625,35.0,0.0,0.0
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,explanations,0.0003736009821295738,1.8207657603852567e-14,0,,,,,,,,
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,read_data,0.015937713906168938,0.019999999999999907,0,,,,,,,,
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,build_model,0.00032572890631854534,-5.551115123125783e-17,0,,,,,,,,
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,extract_features,20.834839513991028,20.88,103,100.25436893203886,109.3,397.97348411650484,399.876096,36.75728155339806,57.0,0.0,0.0
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,fit,0.4851621879497543,1.9300000000000013,3,322.43333333333334,403.3,455.52025599999996,472.784896,39.0,39.0,0.0,0.0
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,save_model,0.015071311965584755,0.06000000000000094,0,,,,,,,,
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,warmup,0.09957359195686877,0.39999999999999725,0,,,,,,,,
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,evaluate_train,27.160567201091908,108.63999999999999,133,400.01203007518797,412.4,472.88560216541345,472.887296,38.962406015037594,43.0,0.0,0.0
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,prepare_val_clean,0.005057199974544346,6.772360450213455e-15,0,,,,,,,,
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,evaluate_val_clean,16.813216394977644,67.25,82,398.3939024390244,408.1,519.3611613658537,536.117248,38.3780487804878,45.0,0.0,0.0
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,prepare_test_clean,0.004858236061409116,0.009999999999990905,0,,,,,,,,
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,evaluate_test_clean,16.694657225976698,66.72999999999999,82,399.340243902439,408.2,555.5886329756097,571.82208,38.03658536585366,42.0,0.0,0.0
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,inference_batch1,1.5522726019844413,6.17,8,374.1875,407.5,571.846656,571.846656,42.0,42.0,0.0,0.0
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,explanations,0.0003716748906299472,-2.5091040356528538e-14,0,,,,,,,,
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,read_data,0.016238173004239798,0.019999999999999907,0,,,,,,,,
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,build_model,0.0002969170454889536,-5.551115123125783e-17,0,,,,,,,,
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,extract_features,6.931939847068861,6.949999999999998,34,100.22941176470589,104.6,398.5671830588235,399.704064,42.470588235294116,74.0,0.0,0.0
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,fit,0.544762569013983,2.170000000000001,3,341.3333333333333,402.8,444.31223466666665,460.341248,68.0,68.0,0.0,0.0
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,save_model,0.01611189392860979,0.05999999999999839,0,,,,,,,,
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,warmup,0.1311971090035513,0.5300000000000008,1,402.5,402.5,453.767168,453.767168,68.0,68.0,0.0,0.0
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,evaluate_train,31.824340626015328,127.35000000000002,155,400.17354838709673,412.4,453.7777911741936,453.779456,32.81290322580645,77.0,0.0,0.0
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,prepare_val_clean,0.004503078060224652,-1.021405182655144e-14,0,,,,,,,,
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,evaluate_val_clean,19.284565959009342,77.14,95,399.0536842105262,407.2,501.8739550315789,519.000064,31.568421052631578,58.0,0.0,0.0
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,prepare_test_clean,0.004584835027344525,2.220446049250313e-15,0,,,,,,,,
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,evaluate_test_clean,19.82116412301548,79.30999999999997,97,399.39175257731966,408.2,541.5721487835052,557.89568,32.51546391752577,50.0,0.0,0.0
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,inference_batch1,1.9914491929812357,7.9299999999999455,10,371.96,406.9,557.969408,557.969408,30.6,33.0,0.0,0.0
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,explanations,0.0004006349481642246,-1.3655743202889425e-14,0,,,,,,,,
few100__polygarbor_p5__seed43,polygarbor_p5,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p5__seed43,read_data,0.017484746989794075,0.019999999999999962,0,,,,,,,,
few100__polygarbor_p5__seed43,polygarbor_p5,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p5__seed43,build_model,0.00028840696904808283,-5.551115123125783e-17,0,,,,,,,,
few100__polygarbor_p5__seed43,polygarbor_p5,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p5__seed43,extract_features,6.947887041023932,6.97,34,100.36764705882354,104.6,396.7731350588235,397.930496,38.6764705882353,41.0,0.0,0.0
few100__polygarbor_p5__seed43,polygarbor_p5,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p5__seed43,fit,0.5335262839216739,2.1199999999999988,3,330.2,414.9,444.16204799999997,456.912896,37.0,37.0,0.0,0.0
