method,scenario,seed,images_per_class,fit_seconds,status,C,gamma,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_ADI,recall_BACK,recall_DEB,recall_LYM,recall_MUC,recall_MUS,recall_NORM,recall_STR,recall_TUM,selection_val_macro_f1,error,epochs
nearest_centroid,few2,45,2.0,0.0009851559998423,complete,,,0.3428310629942542,0.3336784530383028,0.0,0.3711592100831928,0.4229805013927576,0.827354260089686,0.9976387249114522,0.0,0.4936908517350157,0.1893719806763285,0.1418918918918918,0.5344129554655871,0.1187648456057007,0.0373073803730738,,,
pmd_l3,few2,45,2.0,0.0053099429997018,complete,,,0.2325315546633618,0.2224202732835064,0.0,0.3269239463434221,0.2667130919220056,0.0784753363228699,0.9881936245572608,0.7079646017699115,0.9637223974763408,0.0028985507246376,0.1655405405405405,0.0188933873144399,0.0166270783847981,0.0,,,
gabor_svm,few5,45,5.0,0.001367057000607,complete,1.0,scale,0.4647510179439634,0.3550311744084883,0.2528691790967123,0.3762355544595369,0.4299442896935933,0.937219730941704,0.9905548996458088,0.1622418879056047,0.4384858044164038,0.1893719806763285,0.1351351351351351,0.3535762483130904,0.1211401425178147,0.0583941605839416,,,
svm_tuned,few5,45,5.0,0.1038167599999724,complete,100.0,0.01,0.4996506496260178,0.4085544095813314,0.2959636960630716,0.4575797915158208,0.4729805013927576,0.9506726457399104,0.975206611570248,0.6076696165191741,0.5220820189274448,0.1642512077294686,0.2364864864864864,0.4871794871794871,0.1543942992874109,0.0202757502027575,0.4996506496260178,,
nearest_centroid,few5,45,5.0,0.0011443319999671,complete,,,0.4440608583248531,0.3232867366733429,0.1991234137785699,0.3480982760940884,0.4093314763231198,0.9573991031390134,0.9940968122786304,0.0648967551622418,0.416403785488959,0.1314009661835748,0.1013513513513513,0.3198380566801619,0.1045130641330166,0.0429845904298459,,,
pmd_l3,few5,45,5.0,0.0098190030003024,complete,,,0.1470636946827422,0.1288338660445353,0.0,0.223021860470015,0.1675487465181058,0.0037369207772795,1.0,0.9646017699115044,0.0189274447949526,0.0,0.018581081081081,0.0013495276653171,0.0,0.0,,,
gabor_svm,few10,45,10.0,0.001576028999807,complete,1.0,scale,0.5506019007040889,0.4480450818675968,0.3849033503550247,0.4836612514597244,0.5082172701949861,0.8946188340807175,0.987012987012987,0.5693215339233039,0.6750788643533123,0.3246376811594202,0.1064189189189189,0.3832658569500675,0.2422802850356294,0.170316301703163,,,
svm_tuned,few10,45,10.0,0.1392055460000847,complete,100.0,0.01,0.6212784134102851,0.5200963458817337,0.5044726719175152,0.5487418543795114,0.5540389972144847,0.6180866965620329,0.9693034238488784,0.7020648967551623,0.6750788643533123,0.5545893719806764,0.2195945945945946,0.4993252361673414,0.33729216152019,0.3633414436334144,0.6212784134102851,,
nearest_centroid,few10,45,10.0,0.0011414760001571,complete,,,0.4917448785813,0.3991094895787988,0.3279005775065693,0.448798337025894,0.4676880222841225,0.9446935724962632,0.9940968122786304,0.672566371681416,0.389589905362776,0.2685990338164251,0.1047297297297297,0.3076923076923077,0.2850356294536817,0.0721816707218167,,,
pmd_l3,few10,45,10.0,0.0140770260004501,complete,,,0.1658186539292053,0.1007822445961729,0.0,0.233248809793242,0.177158774373259,0.0261584454409566,1.0,0.9587020648967552,0.0347003154574132,0.0,0.0219594594594594,0.0013495276653171,0.0498812351543943,0.0064882400648824,,,
gabor_svm,few20,45,20.0,0.0026620920007189,complete,1.0,scale,0.5862257749930503,0.5100935605138618,0.4752924738297812,0.5252917558967268,0.5614206128133705,0.9020926756352764,0.9834710743801652,0.56047197640118,0.5410094637223974,0.3719806763285024,0.2516891891891892,0.446693657219973,0.2874109263657957,0.3828061638280616,,,
svm_tuned,few20,45,20.0,0.2165942819992778,complete,100.0,0.01,0.6810471431546872,0.6238668894987941,0.5991020311964971,0.6305920715922578,0.672841225626741,0.7772795216741405,0.9716646989374262,0.4896755162241888,0.7681388012618297,0.633816425120773,0.3141891891891892,0.6437246963562753,0.4085510688836104,0.6682887266828873,0.6810471431546872,,
nearest_centroid,few20,45,20.0,0.0011773229998652,complete,,,0.4940715863840951,0.4223361103890663,0.3484399490088645,0.4415903916977333,0.4853760445682451,0.9170403587443946,0.987012987012987,0.2005899705014749,0.6766561514195584,0.2995169082125604,0.1891891891891892,0.3036437246963562,0.2660332541567696,0.1346309813463098,,,
pmd_l3,few20,45,20.0,0.0233990789993185,complete,,,0.2041593794991016,0.1015332418742287,0.0,0.2320483803614674,0.1796657381615599,0.0433482810164424,1.0,0.952802359882006,0.0252365930599369,0.0202898550724637,0.0118243243243243,0.0,0.0308788598574821,0.0040551500405515,,,
gabor_svm,few1,46,1.0,0.0016795269993963,complete,1.0,scale,0.3853844857383356,0.3441029665329335,0.0,0.3472177555270863,0.3796657381615599,0.4342301943198804,0.9563164108618654,0.3569321533923303,0.4779179810725552,0.293719806763285,0.0,0.1551956815114709,0.0783847980997624,0.3722627737226277,,,
svm_tuned,few1,46,1.0,0.0920565380001789,complete,0.1,0.0001,0.3853844857383356,0.3441029665329335,0.0,0.3472177555270863,0.3796657381615599,0.4342301943198804,0.9563164108618654,0.3569321533923303,0.4779179810725552,0.293719806763285,0.0,0.1551956815114709,0.0783847980997624,0.3722627737226277,0.3853844857383356,,
nearest_centroid,few1,46,1.0,0.001334900999609,complete,,,0.3853844857383356,0.3441029665329335,0.0,0.3472177555270863,0.3796657381615599,0.4342301943198804,0.9563164108618654,0.3569321533923303,0.4779179810725552,0.293719806763285,0.0,0.1551956815114709,0.0783847980997624,0.3722627737226277,,,
gabor_svm,few2,46,2.0,0.0015775399997437,complete,1.0,scale,0.4418632408273225,0.3564268155907088,0.2265667128307635,0.374676995511944,0.4384401114206128,0.8819133034379671,0.9846517119244392,0.0855457227138643,0.4858044164037854,0.2743961352657005,0.0236486486486486,0.3643724696356275,0.1306413301662707,0.1411192214111922,,,
svm_tuned,few2,46,2.0,0.0916444260001299,complete,10.0,0.01,0.4963777777041436,0.4077909897700821,0.2751821305092882,0.4160243335538418,0.4867688022284122,0.8639760837070254,0.975206611570248,0.1651917404129793,0.4842271293375394,0.3217391304347826,0.0456081081081081,0.5263157894736842,0.0570071258907363,0.3049472830494728,0.4963777777041436,,
nearest_centroid,few2,46,2.0,0.0010581080005067,complete,,,0.4555892276036455,0.4144711702498067,0.2843297813450315,0.4376770101325681,0.4788300835654596,0.85949177877429,0.9763872491145218,0.2536873156342183,0.7097791798107256,0.2579710144927536,0.0523648648648648,0.6356275303643725,0.1021377672209026,0.0916463909164639,,,
pmd_l3,few2,46,2.0,0.0061785779998899,complete,,,0.1907519910473732,0.1456012771910932,0.0,0.2229813848464964,0.2233983286908078,0.0889387144992526,1.0,0.103244837758112,0.0,0.0,0.3260135135135135,0.3873144399460189,0.002375296912114,0.0989456609894566,,,
gabor_svm,few5,46,5.0,0.0015019699994809,complete,1.0,scale,0.473338711269187,0.450608491880078,0.3785971387329049,0.452663765096969,0.5098885793871867,0.8482810164424515,0.9787485242030696,0.1445427728613569,0.4621451104100946,0.2599033816425121,0.3429054054054054,0.5033738191632928,0.1828978622327791,0.3511759935117599,,,
svm_tuned,few5,46,5.0,0.1111335429995961,complete,10.0,0.1,0.5492984309287149,0.4689797037497419,0.4159875190929659,0.4681412963898974,0.5146239554317549,0.7346786248131539,0.9645808736717828,0.168141592920354,0.3154574132492113,0.4328502415458937,0.3783783783783784,0.562753036437247,0.3206650831353919,0.3357664233576642,0.5492984309287149,,
nearest_centroid,few5,46,5.0,0.0010993320001944,complete,,,0.4132319470569268,0.4459867930986663,0.3672617497834387,0.4575927483860699,0.4973537604456824,0.7488789237668162,0.9893742621015348,0.2271386430678466,0.4242902208201893,0.1227053140096618,0.402027027027027,0.7165991902834008,0.1377672209026128,0.3495539334955393,,,
pmd_l3,few5,46,5.0,0.009949640000741,complete,,,0.1776907077831907,0.1827211043056366,0.0,0.2605844049648185,0.2486072423398328,0.0007473841554559,1.0,0.1268436578171091,0.0063091482649842,0.2695652173913043,0.6097972972972973,0.3238866396761133,0.0,0.008110300081103,,,
gabor_svm,few10,46,10.0,0.0019024350003746,complete,1.0,scale,0.5606303985387271,0.4914496179473933,0.4077971233453106,0.4981357348062569,0.5601671309192201,0.8385650224215246,0.9964580873671782,0.1533923303834808,0.4227129337539432,0.3207729468599034,0.4121621621621621,0.7827260458839406,0.1306413301662707,0.4257907542579075,,,
svm_tuned,few10,46,10.0,0.1422415269998964,complete,100.0,0.001,0.608530605661872,0.555602399379111,0.4783470034909917,0.5587457955151817,0.6137883008356546,0.8490284005979073,0.9846517119244392,0.2005899705014749,0.7476340694006309,0.4454106280193237,0.3226351351351351,0.8502024291497976,0.1995249406175772,0.4290348742903487,0.608530605661872,,
nearest_centroid,few10,46,10.0,0.0011520460002429,complete,,,0.4259458794497583,0.5200652864825874,0.4501865763603098,0.5306089716239171,0.5569637883008357,0.7937219730941704,0.9905548996458088,0.4306784660766962,0.7523659305993691,0.1584541062801932,0.3547297297297297,0.7017543859649122,0.1852731591448931,0.4079480940794809,,,
pmd_l3,few10,46,10.0,0.0140114929999981,complete,,,0.343980435105729,0.2259875062918369,0.134164353329981,0.2712372356018888,0.2661559888579387,0.0859491778774289,1.0,0.2241887905604719,0.1104100946372239,0.3439613526570048,0.4594594594594595,0.1767881241565452,0.007125890736342,0.0332522303325223,,,
gabor_svm,few20,46,20.0,0.0033613929999773,complete,1.0,scale,0.6001011937679079,0.4724305651210725,0.3668459352026768,0.4801518014431032,0.5384401114206128,0.8445440956651719,0.9976387249114522,0.0589970501474926,0.4952681388012618,0.3884057971014493,0.2702702702702703,0.7746288798920378,0.2280285035629453,0.2635847526358475,,,
svm_tuned,few20,46,20.0,0.2177511050003886,complete,1000.0,0.001,0.680795320698906,0.5758032620638347,0.5245320947481042,0.5874451598395486,0.6232590529247911,0.6846038863976084,0.9929161747343566,0.3834808259587021,0.8675078864353313,0.5603864734299517,0.2314189189189189,0.8218623481781376,0.2541567695961995,0.4906731549067315,0.680795320698906,,
nearest_centroid,few20,46,20.0,0.0012085920006938,complete,,,0.485970915295134,0.4571647445325832,0.3401801748251064,0.5259251618176035,0.5263231197771587,0.8923766816143498,0.9893742621015348,0.7168141592920354,0.8690851735015773,0.1082125603864734,0.0456081081081081,0.7516869095816464,0.2304038004750593,0.129764801297648,,,
pmd_l3,few20,46,20.0,0.0239661870000418,complete,,,0.351455396489491,0.2525748108340129,0.0,0.3387042821794448,0.305849582172702,0.030642750373692,1.0,0.1327433628318584,0.6451104100946372,0.1971014492753623,0.8581081081081081,0.1740890688259109,0.0,0.0105433901054339,,,
yolo11n,few10,42,,,complete,,,,0.6999293957432644,0.701694134736377,0.7314882421325004,0.7295264623955432,0.906576980568012,0.8240850059031877,0.8112094395280236,0.9605678233438486,0.5140096618357488,0.8969594594594594,0.7530364372469636,0.38004750593824227,0.5369018653690186,,,25.0
yolo11n,few10,43,,,complete,,,,0.6841586025098076,0.6812005968016246,0.7143421686080651,0.7147632311977716,0.9013452914798207,0.987012987012987,0.7905604719764012,0.9605678233438486,0.6115942028985507,0.7043918918918919,0.6666666666666666,0.4014251781472684,0.40551500405515006,,,20.0
yolo11n,few10,44,,,complete,,,,0.6990917402455339,0.6913212304879666,0.7151991137477504,0.7395543175487466,0.882660687593423,0.9834710743801653,0.6283185840707964,0.8911671924290221,0.7777777777777778,0.38513513513513514,0.6828609986504723,0.6247030878859857,0.5806974858069749,,,22.0
yolo11n,few10,45,,,complete,,,,0.7185865844650487,0.7187122883964049,0.7462830342683272,0.7551532033426184,0.9491778774289985,0.9279811097992916,0.9351032448377581,0.9652996845425867,0.6260869565217392,0.7212837837837838,0.5344129554655871,0.4156769596199525,0.6415247364152473,,,31.0
yolo11n,few10,46,,,complete,,,,0.736973640446254,0.7225402667519706,0.7444568219280628,0.7686629526462395,0.9103139013452914,0.9586776859504132,0.6637168141592921,0.9589905362776026,0.6859903381642513,0.39864864864864863,0.7530364372469636,0.66270783847981,0.708029197080292,,,27.0
yolo11n_random,few10,42,,,complete,,,,0.4286087432196067,0.0,0.4960667923498023,0.5420612813370473,0.9289985052316891,0.987012987012987,0.5545722713864307,0.9700315457413249,0.16618357487922705,0.21114864864864866,0.17139001349527666,0.0,0.47526358475263586,,,45.0
yolo11n_random,few10,43,,,complete,,,,0.023448638622427086,0.0,0.1111111111111111,0.117966573816156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.0
yolo11n_random,few10,44,,,complete,,,,0.5016488313506543,0.40673487656753715,0.539658758583037,0.593175487465181,0.9267563527653214,1.0,0.24188790560471976,0.9384858044164038,0.7835748792270532,0.2972972972972973,0.07152496626180836,0.34679334916864607,0.25060827250608275,,,43.0
yolo11n_random,few10,45,,,complete,,,,0.020788620965366326,0.0,0.1111111111111111,0.1032033426183844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,9.0
yolo11n_random,few10,46,,,complete,,,,0.020788620965366326,0.0,0.1111111111111111,0.1032033426183844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,9.0
yolo11n,few1,42,,,complete,,,,0.41299403280600977,0.34299833640190797,0.4298665089452578,0.47284122562674097,0.9080717488789237,0.5997638724911453,0.528023598820059,0.61198738170347,0.4821256038647343,0.2652027027027027,0.1214574898785425,0.09263657957244656,0.259529602595296,,,30.0
yolo11n,few1,43,,,complete,,,,0.3335957922940882,0.28100495077342796,0.4189370816859734,0.40793871866295267,0.882660687593423,0.0590318772136954,0.5073746312684366,0.9936908517350158,0.08792270531400966,0.5996621621621622,0.2739541160593792,0.2517814726840855,0.11435523114355231,,,44.0
yolo11n,few1,44,,,complete,,,,0.4840540063612445,0.43092294237653384,0.4934244273180337,0.5196378830083566,0.7593423019431988,0.7414403778040142,0.26843657817109146,0.9826498422712934,0.23768115942028986,0.43074324324324326,0.44804318488529016,0.2042755344418052,0.3682076236820762,,,22.0
yolo11n,few1,45,,,complete,,,,0.35679029372089677,0.2972669531715422,0.4229740606133949,0.3725626740947075,0.4701046337817638,0.8713105076741441,0.9144542772861357,0.6293375394321766,0.08599033816425121,0.24324324324324326,0.23481781376518218,0.30641330166270786,0.051094890510948905,,,34.0
yolo11n,few1,46,,,complete,,,,0.48959337378042567,0.40960995186445076,0.51333905364949,0.5371866295264623,0.5403587443946188,0.564344746162928,0.6932153392330384,0.9589905362776026,0.6048309178743961,0.0625,0.2321187584345479,0.2589073634204275,0.7047850770478508,,,48.0
yolo11n_random,few1,42,,,complete,,,,0.023448638622427086,0.0,0.1111111111111111,0.117966573816156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.0
yolo11n_random,few1,43,,,complete,,,,0.01001906281863723,0.0,0.1111111111111111,0.04721448467966574,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.0
yolo11n_random,few1,44,,,complete,,,,0.016926859953108022,0.0,0.1111111111111111,0.08245125348189415,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,9.0
yolo11n_random,few1,45,,,complete,,,,0.020788620965366326,0.0,0.1111111111111111,0.1032033426183844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,9.0
yolo11n_random,few1,46,,,complete,,,,0.023448638622427086,0.0,0.1111111111111111,0.117966573816156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.0
yolo11n,few20,42,,,complete,,,,0.7190411938624501,0.6948245318539815,0.7234542781898605,0.7472144846796658,0.8863976083707026,0.9456906729634003,0.5162241887905604,0.889589905362776,0.7140096618357488,0.8209459459459459,0.835357624831309,0.3919239904988123,0.5109489051094891,,,28.0
