method,scenario,seed,images_per_class,fit_seconds,status,C,gamma,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_ADI,recall_BACK,recall_DEB,recall_LYM,recall_MUC,recall_MUS,recall_NORM,recall_STR,recall_TUM,selection_val_macro_f1,error
nearest_centroid,few2,43,2,0.0009590979998392868,complete,,,0.3021169746571015,0.17912055447861167,0.0,0.19828861536414932,0.18133704735376044,0.33482810164424515,0.0,0.39233038348082594,0.5047318611987381,0.02705314009661836,0.08783783783783784,0.30364372469635625,0.0855106888361045,0.04866180048661801,,
pmd_l3,few2,43,2,0.005194274999666959,complete,,,0.17353434245552302,0.08334708927856158,0.0,0.127644054283342,0.1,0.0,0.0,0.09144542772861357,0.18454258675078863,0.0,0.0,0.5897435897435898,0.2660332541567696,0.0170316301703163,,
gabor_svm,few5,43,5,0.0013283480002428405,complete,1.0,scale,0.46387007240336975,0.41343193768610725,0.2603081047705306,0.4516008509501899,0.5062674094707521,0.85949177877429,0.987012987012987,0.09144542772861357,0.8454258675078864,0.15169082125603864,0.06418918918918919,0.7881241565452092,0.047505938242280284,0.22952149229521493,,
svm_tuned,few5,43,5,0.10446665299969027,complete,0.1,0.1,0.502548987344125,0.4278388989866459,0.3214754937559522,0.4521799026485561,0.49345403899721446,0.7638266068759342,0.9681227863046045,0.12979351032448377,0.8186119873817035,0.21642512077294687,0.1891891891891892,0.7017543859649122,0.08076009501187649,0.20113544201135442,0.502548987344125,
nearest_centroid,few5,43,5,0.0010966390000248794,complete,,,0.45789139374824966,0.4176606110504094,0.28482345376432955,0.45462567731740244,0.49442896935933145,0.9364723467862481,0.9929161747343566,0.1710914454277286,0.7917981072555205,0.11690821256038647,0.06587837837837837,0.7341430499325237,0.19239904988123516,0.09002433090024331,,
pmd_l3,few5,43,5,0.010075555000184977,complete,,,0.29294335259781085,0.19248289040330585,0.0,0.27887250325625024,0.26114206128133705,0.0,1.0,0.035398230088495575,0.7476340694006309,0.0,0.07939189189189189,0.4008097165991903,0.13064133016627077,0.11597729115977291,,
gabor_svm,few10,43,10,0.0016722740001569036,complete,1.0,scale,0.5585000371659307,0.46844804639530657,0.3703747051926447,0.48296062984084415,0.531058495821727,0.8527653213751868,0.9787485242030697,0.1415929203539823,0.7129337539432177,0.35555555555555557,0.19932432432432431,0.766531713900135,0.15914489311163896,0.18004866180048662,,
svm_tuned,few10,43,10,0.13582840200069768,complete,100.0,0.001,0.5892098426400687,0.497800757499722,0.39283510501404123,0.5228837005056591,0.5449860724233984,0.8340807174887892,0.9917355371900827,0.3952802359882006,0.8517350157728707,0.3545893719806763,0.13006756756756757,0.8475033738191633,0.19714964370546317,0.10381184103811841,0.5892098426400687,
nearest_centroid,few10,43,10,0.0010390999996161554,complete,,,0.47934581508815377,0.4406147193450119,0.34160587469913706,0.4792600228288851,0.5108635097493036,0.9304932735426009,0.9940968122786304,0.2743362831858407,0.7018927444794952,0.2763285024154589,0.16385135135135134,0.6680161943319838,0.2589073634204275,0.0454176804541768,,
pmd_l3,few10,43,10,0.013403966000623768,complete,,,0.33844633228540366,0.256557732921562,0.0,0.3479363105324174,0.31100278551532035,0.004484304932735426,1.0,0.27728613569321536,0.8958990536277602,0.0,0.33614864864864863,0.2145748987854251,0.16864608076009502,0.23438767234387672,,
gabor_svm,few20,43,20,0.0021422070003609406,complete,1.0,scale,0.6139721497630863,0.5102983885221043,0.4299716553886008,0.5275814577845864,0.5651810584958217,0.8557548579970105,0.974025974025974,0.25663716814159293,0.7539432176656151,0.4444444444444444,0.28885135135135137,0.8326585695006747,0.18052256532066507,0.16139497161394972,,
svm_tuned,few20,43,20,0.1912681080002585,complete,100.0,0.01,0.6744223923751165,0.5632133501036064,0.49418607537607323,0.5795134738272707,0.6227019498607242,0.8931240657698056,0.9858323494687131,0.31268436578171094,0.8722397476340694,0.5323671497584541,0.30236486486486486,0.844804318488529,0.19239904988123516,0.2798053527980535,0.6744223923751165,
nearest_centroid,few20,43,20,0.0010759150000012596,complete,,,0.5129049027661883,0.44506306209913354,0.32431608358907854,0.4852556385899372,0.5218662952646239,0.9282511210762332,0.9952774498229043,0.2861356932153392,0.805993690851735,0.30434782608695654,0.10641891891891891,0.7408906882591093,0.14726840855106887,0.05271695052716951,,
pmd_l3,few20,43,20,0.02180091500031267,complete,,,0.36956411046301174,0.28921796649577936,0.0,0.3690507136082035,0.3430362116991644,0.0,1.0,0.07669616519174041,0.8580441640378549,0.000966183574879227,0.27533783783783783,0.6059379217273954,0.2327790973871734,0.27169505271695055,,
gabor_svm,few1,44,1,0.0013012710005568806,complete,1.0,scale,0.3064020206922986,0.2539090457639015,0.0,0.2704681043611706,0.3108635097493036,0.6875934230194319,0.0,0.07669616519174041,0.7413249211356467,0.314975845410628,0.18412162162162163,0.08636977058029689,0.13064133016627077,0.21248986212489862,,
