campaign,method,scenario,seed,path,train_seconds,model_mb,rss_peak_mb,evaluation,macro_f1,multiclass_gmean,balanced_accuracy,accuracy
2026-09-15_svm,gabor_svm,imbalance,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/imbalance__gabor_svm__seed42,10.442966265003633,0.139002,753.913856,val_clean,0.6623979955677471,0.5421869035518927,0.6891985061448245,0.704
2026-09-15_svm,gabor_svm,imbalance,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/imbalance__gabor_svm__seed42,10.442966265003633,0.139002,753.913856,test_clean,0.6473547623809519,0.5359300033142674,0.674317948325208,0.67
2026-09-15_svm,gabor_svm,label_noise,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/label_noise__gabor_svm__seed42,18.870417497000744,0.483817,938.02496,train,0.7129070310689554,0.7114726497051502,0.7134793120345524,0.713
2026-09-15_svm,gabor_svm,label_noise,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/label_noise__gabor_svm__seed42,18.870417497000744,0.483817,938.02496,train_original_labels,0.8832454776016401,0.8816186464348207,0.8833327001883116,0.8835
2026-09-15_svm,gabor_svm,label_noise,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/label_noise__gabor_svm__seed42,18.870417497000744,0.483817,938.02496,val_clean,0.8837249809144214,0.8832269273922367,0.8858615979182655,0.886
2026-09-15_svm,gabor_svm,label_noise,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/label_noise__gabor_svm__seed42,18.870417497000744,0.483817,938.02496,test_clean,0.8735065967765552,0.8692553430953357,0.8746180782416453,0.872
2026-09-15_svm,gabor_svm,loso_01,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_01__gabor_svm__seed42,20.14094162499896,0.351183,942.112768,train,0.8770508466254952,0.8739312276533397,0.876490277849208,0.8826370441922241
2026-09-15_svm,gabor_svm,loso_01,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_01__gabor_svm__seed42,20.14094162499896,0.351183,942.112768,val_clean,0.8466745254898528,0.8381889051295084,0.8456189479756793,0.8558951965065502
2026-09-15_svm,gabor_svm,loso_01,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_01__gabor_svm__seed42,20.14094162499896,0.351183,942.112768,test_clean,0.4135062200097218,,0.6542843276911904,0.6309226932668329
2026-09-15_svm,gabor_svm,loso_01,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_01__gabor_svm__seed43,19.233911439998337,0.350475,945.2544,train,0.8737764749937155,0.8716798130484109,0.8740140234134419,0.8792562183047573
2026-09-15_svm,gabor_svm,loso_01,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_01__gabor_svm__seed43,19.233911439998337,0.350475,945.2544,val_clean,0.845450357995881,0.838024447075324,0.8447861984054892,0.8537117903930131
2026-09-15_svm,gabor_svm,loso_01,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_01__gabor_svm__seed43,19.233911439998337,0.350475,945.2544,test_clean,0.41785338823519913,,0.6601970560303895,0.6433915211970075
2026-09-15_svm,gabor_svm,loso_02,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_02__gabor_svm__seed42,19.83140114899652,0.350475,963.260416,train,0.8896100656477605,0.8887939879999995,0.8899836911705834,0.8918727915194347
2026-09-15_svm,gabor_svm,loso_02,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_02__gabor_svm__seed42,19.83140114899652,0.350475,963.260416,val_clean,0.888488129717082,0.8848100429601775,0.8886307225206092,0.89171974522293
2026-09-15_svm,gabor_svm,loso_02,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_02__gabor_svm__seed42,19.83140114899652,0.350475,963.260416,test_clean,0.3120795089625355,,0.5264638070886969,0.676056338028169
2026-09-15_svm,gabor_svm,loso_02,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_02__gabor_svm__seed43,21.035183808999136,0.354723,949.415936,train,0.8913374260306886,0.8900323699922641,0.8913850012240887,0.8937573616018846
2026-09-15_svm,gabor_svm,loso_02,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_02__gabor_svm__seed43,21.035183808999136,0.354723,949.415936,val_clean,0.8928782732750451,0.8895779020861235,0.8928350752622712,0.8959660297239915
2026-09-15_svm,gabor_svm,loso_02,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_02__gabor_svm__seed43,21.035183808999136,0.354723,949.415936,test_clean,0.28879268830774485,,0.4969194145653324,0.6373239436619719
2026-09-15_svm,gabor_svm,loso_03,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_03__gabor_svm__seed42,18.184568128999672,0.341743,936.738816,train,0.8831642200005902,0.8810584682580564,0.8826031072010765,0.8837027379400261
2026-09-15_svm,gabor_svm,loso_03,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_03__gabor_svm__seed42,18.184568128999672,0.341743,936.738816,val_clean,0.905532083221533,0.9071993541887986,0.9080429564405132,0.9058823529411765
2026-09-15_svm,gabor_svm,loso_03,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_03__gabor_svm__seed42,18.184568128999672,0.341743,936.738816,test_clean,0.567085981422428,,0.712589216370729,0.7148648648648649
2026-09-15_svm,gabor_svm,loso_03,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_03__gabor_svm__seed43,17.4866561969975,0.343631,921.677824,train,0.8848158470725938,0.8829961084207132,0.8844030469354434,0.8852672750977836
2026-09-15_svm,gabor_svm,loso_03,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_03__gabor_svm__seed43,17.4866561969975,0.343631,921.677824,val_clean,0.8960546473879889,0.8976634823680134,0.8984738061997718,0.8964705882352941
2026-09-15_svm,gabor_svm,loso_03,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_03__gabor_svm__seed43,17.4866561969975,0.343631,921.677824,test_clean,0.5625296532111153,,0.7042846168896589,0.7040540540540541
2026-09-15_svm,gabor_svm,loso_04,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_04__gabor_svm__seed42,20.121256593003636,0.345047,952.75008,train,0.8951599904093619,0.8938551474838468,0.8954506671430995,0.8963693195479683
2026-09-15_svm,gabor_svm,loso_04,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_04__gabor_svm__seed42,20.121256593003636,0.345047,952.75008,val_clean,0.8685284641754178,0.8661414326360121,0.868202865411283,0.8717391304347826
2026-09-15_svm,gabor_svm,loso_04,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_04__gabor_svm__seed42,20.121256593003636,0.345047,952.75008,test_clean,0.50237215658106,,0.6192294179167893,0.7007874015748031
2026-09-15_svm,gabor_svm,loso_04,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_04__gabor_svm__seed43,19.800520078999398,0.342923,944.050176,train,0.8920509496709721,0.8903115633666249,0.8919897870670737,0.8934840105794662
2026-09-15_svm,gabor_svm,loso_04,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_04__gabor_svm__seed43,19.800520078999398,0.342923,944.050176,val_clean,0.8774879042150134,0.8752485387019875,0.8770714329996085,0.8804347826086957
2026-09-15_svm,gabor_svm,loso_04,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_04__gabor_svm__seed43,19.800520078999398,0.342923,944.050176,test_clean,0.506902000323053,,0.6354847561307753,0.6824146981627297
2026-09-15_svm,gabor_svm,loso_05,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_05__gabor_svm__seed42,17.44942763900326,0.331359,926.39232,train,0.9057197884430463,0.9046928160139484,0.9055899499521963,0.9060179257362356
2026-09-15_svm,gabor_svm,loso_05,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_05__gabor_svm__seed42,17.44942763900326,0.331359,926.39232,val_clean,0.8967921639595503,0.8950794838014785,0.8983462408483509,0.8963133640552995
2026-09-15_svm,gabor_svm,loso_05,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/loso_05__gabor_svm__seed42,17.44942763900326,0.331359,926.39232,test_clean,0.5036217327497324,,0.6244740191674154,0.659606656580938
